file_name,alloy,card,n_labeled,n_rows,frac_labeled
AA5xxx Card - 051C.docx,AA5xxx,051C,1,1,1.0
AA5xxx Card - 051D.docx,AA5xxx,051D,1,1,1.0
AA5xxx Card - 052A.docx,AA5xxx,052A,1,1,1.0
AA5xxx Card - 052B.docx,AA5xxx,052B,1,1,1.0
AA5xxx Card - 052C.docx,AA5xxx,052C,1,1,1.0
AA5xxx Card - 052D.docx,AA5xxx,052D,1,1,1.0
AA5xxx Card - 053A.docx,AA5xxx,053A,1,1,1.0
AA5xxx Card - 053B.docx,AA5xxx,053B,1,1,1.0
AA5xxx Card - 053C.docx,AA5xxx,053C,1,1,1.0
AA5xxx Card - 053D.docx,AA5xxx,053D,1,1,1.0
AA5xxx Card - 054A.docx,AA5xxx,054A,1,1,1.0
AA5xxx Card - 054B.docx,AA5xxx,054B,1,1,1.0
AA5xxx Card - 054C.docx,AA5xxx,054C,1,1,1.0
AA5xxx Card - 054D.docx,AA5xxx,054D,1,1,1.0
AA5xxx Card - 055A.docx,AA5xxx,055A,1,1,1.0
AA5xxx Card - 055B.docx,AA5xxx,055B,1,1,1.0
AA5xxx Card - 055C.docx,AA5xxx,055C,1,1,1.0
AA5xxx Card - 055D.docx,AA5xxx,055D,1,1,1.0
AA5xxx Card - 055E.docx,AA5xxx,055E,1,1,1.0
AA5xxx Card - 055F.docx,AA5xxx,055F,1,1,1.0
AA5xxx Card - 055G.docx,AA5xxx,055G,1,1,1.0
AA5xxx Card - 055H.docx,AA5xxx,055H,1,1,1.0
AA5xxx Card - 055I.docx,AA5xxx,055I,1,1,1.0
AA5xxx Card - 055J.docx,AA5xxx,055J,1,1,1.0
AA5xxx Card - 055K.docx,AA5xxx,055K,1,1,1.0
AA5xxx Card - 055L.docx,AA5xxx,055L,1,1,1.0
AA5xxx Card - 055M.docx,AA5xxx,055M,1,1,1.0
AA5xxx Card - 055N.docx,AA5xxx,055N,1,1,1.0
AA5xxx Card - 055O.docx,AA5xxx,055O,1,1,1.0
AA5xxx Card - 055P.docx,AA5xxx,055P,1,1,1.0
